id_bien;no_voie;type_voie;voie;total_piece;surface_carrez;surface_reelle;type_local;id_commune
1;18;RUE;DUPONT DES LOGES;3;2.1;42;Appartement;35238
2;7;AV;ELTVILLE;1;23.24;23;Appartement;41151
3;22;PL;DU VIEUX MARCHE;3;15;57;Appartement;45234
4;38;AV;GEORGES CLEMENCEAU;1;12.86;10;Appartement;6155
5;5;PL;NOTRE DAME;1;12.4;21;Appartement;50502
6;7;RUE;VILLEBOIS MAREUIL;3;1.43;80;Appartement;75117
7;15;RUE;GRAND RUE MARIO ROUSTAN;1;20.5;58;Appartement;34301
8;7;AV;ELTVILLE;2;46.95;47;Appartement;41151
9;17;RUE;DU DOCTEUR RAYOL;1;25.47;26;Appartement;83082
10;4;PL;DE SCHWEINFURT;6;129.67;130;Appartement;28088
11;11;AV;ELTVILLE;1;23.27;23;Appartement;41151
12;590;RUE;DU GENERAL KOENIG;1;15.79;17;Appartement;60665
13;9;RUE;JEAN CRISTOFOL;1;23.2;22;Appartement;13203
14;7;AV;ELTVILLE;1;23.4;23;Appartement;41151
15;2;PL;INSURRECTION D AOUT 1944;3;10.6;46;Appartement;94041
16;5039;;PIENE HAUTE;2;21.79;25;Appartement;6023
17;14;RUE;DU PETIT PARIS;1;23.93;23;Appartement;22136
18;63;RUE;DE LA REPUBLIQUE;5;162.12;110;Appartement;30037
19;3;RUE;BEAUMELLE;3;47.05;45;Appartement;34108
20;11;RUE;VIENNET;1;17.72;19;Appartement;34032
21;7;RUE;FRANCOIS MITTERRAND;2;45.5;45;Appartement;54205
22;2;IMP;DAGOREAU;1;40.17;22;Appartement;72269
23;20;AV;DE VERDUN;1;42;35;Appartement;63285
24;2;RUE;RENE DUCROS;4;62.74;62;Appartement;23176
25;5319;;LAMBRUSQUIERE;1;23.16;22;Appartement;30017
26;11;RUE;DE LA PLAINE;2;36.8;32;Appartement;34028
27;3;RUE;DE L HORLOGE;3;62.19;60;Appartement;35238
28;13;CHE;DES DAMES;1;18.5;19;Appartement;35265
29;28;AV;DU GENERAL DE GAULLE;1;23.52;20;Appartement;54329
30;4;RUE;DE LA COSARDE;3;24.2;54;Appartement;94038
31;140;RUE;DE RIVOLI;1;8.78;17;Appartement;75101
32;1;AV;ARTHUR MULLOT;1;28.8;20;Appartement;11069
33;10;PL;DE L EGLISE;3;52.26;52;Appartement;53073
34;60;RUE;DU CASINO;2;39.22;36;Appartement;65127
35;3;RUE;DE  LA  CHABRIETTE;1;44;50;Appartement;6094
36;77;RUE;PAUTRIER;0;33.46;27;Appartement;13204
37;51;BD;DE LA LIBERTE;1;24.65;25;Appartement;47157
38;5013;;LE VILLAGE;3;99.88;80;Appartement;26247
39;20;RUE;NOTRE DAME;1;20.45;26;Appartement;2722
40;4;RUE;MOLIERE;2;56.87;50;Appartement;18279
41;2;RUE;DE LA TURLURETTE;4;79.49;92;Appartement;58134
42;4;RUE;DU VIEUX COLLEGE;1;37.77;39;Appartement;88321
43;32;RUE;BOURNEIL;1;30.34;17;Appartement;89024
44;3;PL;DE LA MONNAIE;6;14.9;179;Appartement;44109
45;56;RUE;DE TOURNON;2;39;43;Appartement;7010
46;36;RUE;DE TURLY;1;35.37;35;Appartement;18033
47;2;RUE;JOFFRE;1;33.47;33;Appartement;35125
48;8;RUE;DE LA TRINITE;1;11.9;20;Appartement;83072
49;23;RUE;RICHER;1;4.7;8;Appartement;75109
50;260;RTE;DE L AEROPORT;1;22.14;22;Appartement;73329
51;68;RUE;GAMBETTA;1;17.8;18;Appartement;47310
52;13;RUE;DES BOUCHERS;1;17.28;17;Appartement;28280
53;3;PL;CRUSSY;1;67.09;75;Appartement;8409
54;10;RUE;JOSEPH CLAUDE HABERT;1;14.41;14;Appartement;10387
55;1;PASS;LE PASSAGE DES FEES;1;52.04;48;Appartement;19269
56;5240;PL;DU CHATEAU;1;28.91;25;Appartement;30255
57;30;AV;VICTOR HUGO;1;10.58;12;Appartement;34301
58;21;RUE;DE PARIS;1;11.91;10;Appartement;35360
59;12;RUE;DU MARCHE;2;40.03;47;Appartement;39478
60;5;AV;DU DOC JEAN LAIGRET;1;13.48;13;Appartement;41018
61;27;RUE;DE MONTAUD;1;19.28;20;Appartement;42218
62;9004;PL;LEO LAGRANGE;1;23.91;30;Appartement;47106
63;56;RUE;DU ROCHER;1;3.64;5;Appartement;75108
64;44;RUE;PASTEUR;2;36.01;41;Maison;72223
65;14;RUE;DES TROIS PORTES;1;5.27;6;Appartement;75105
66;30;IMP;GEORGES MOINEAUX;2;30.03;25;Appartement;83137
67;8;RUE;NICOLAS CUGNOT;1;12.21;12;Appartement;42187
68;47;RUE;DESIRE CLAUDE;1;18;18;Appartement;42218
69;29;RUE;CASSENEUIL;1;29.99;33;Appartement;47323
70;8;RUE;PACATTE;1;35;36;Appartement;54329
71;38;RUE;GUERRIER;1;17.67;19;Appartement;76217
72;37;BD;CARNOT;1;12.47;13;Appartement;87085
73;12;RUE;DU MURET;1;22.2;30;Appartement;1283
74;9001;PL;EUGENIE;1;16.82;18;Appartement;64204
75;27;RUE;DE LA FRATERNITE;1;23.48;23;Appartement;47323
76;124;RUE;CHANZY;1;10.46;10;Appartement;72181
77;6018;;BALCONS DE VAL THO CHAL 6;4;63.8;62;Appartement;73257
78;7;RUE;DU DOCTEUR LABAT;1;18.96;24;Appartement;82121
79;1;RUE;DU COURTIOU;1;17.7;16;Appartement;83050
80;10;AV;HENRI SELLIER;2;44.84;44;Appartement;88160
81;7;RUE;EUGENE CARRIERE;2;37.21;35;Appartement;75118
82;;;LE VILLAGE;1;13.78;18;Appartement;11310
83;50;RUE;BRISON;1;24.62;26;Appartement;42187
84;23;BD;DE STRASBOURG;5;167.45;175;Appartement;83137
85;14;RUE;RAOUL FOLLEREAU;2;48.33;48;Appartement;42218
86;13;RUE;DE LA ROVERE;2;82.33;37;Appartement;48095
87;25;AV;DU VALLESPIR;1;11.06;11;Appartement;66003
88;38;PL;D AVRINSART;1;32.74;34;Appartement;88160
89;804;RES;APHRODITE LA VOIE D'EAU;1;14.88;15;Appartement;11202
90;5002;TSSE;DU CHATEAU VENTO;1;18.05;18;Appartement;13214
91;49;RUE;DES BONS ENFANTS;1;31;35;Appartement;13206
92;19;RUE;FRANKLIN;1;29.15;29;Appartement;42218
93;21;PL;DU MARCHE COUVERT;2;45.27;57;Appartement;43157
94;3;BD;SAINT DOMINIQUE;1;160.58;11;Appartement;48092
95;72;RUE;GAL DE GAULLE;2;27.12;30;Appartement;56178
96;1;RUE;DOCTEUR LOUIS TIXIER;2;36.9;36;Maison;58194
97;6;RUE;DE LA TUILERIE;3;53.06;50;Appartement;60463
98;66;RUE;DES FONCES;3;16;65;Appartement;83004
99;68;RUE;DES DAMES;1;6.54;8;Appartement;75117
100;45;GR;GRANDE RUE;1;11.82;12;Appartement;80039
101;37;RUE;DE LA CHICOTIERE;1;13.79;13;Appartement;44162
102;51;RUE;DE STALINGRAD;2;32.2;32;Appartement;88372
103;260;RTE;DE L AEROPORT;1;27.77;26;Appartement;73329
104;260;RTE;DE L AEROPORT;1;27.89;27;Appartement;73329
105;7054;;LA CHAPELLE;1;14.41;20;Appartement;4006
106;5338;COR;DU CLOT CHENU;1;14.33;16;Appartement;5153
107;17;CRS;DU PALAIS;2;35.12;36;Appartement;7186
108;115;AV;PIERRE BROSSOLETTE;1;21.08;20;Appartement;10387
109;10;RUE;GUSTAVE EIFFEL;2;42.68;44;Appartement;22278
110;25;RUE;DU MAYOLLET;3;55.77;53;Appartement;42187
111;2;BD;SAINT DOMINIQUE;1;27.83;32;Appartement;48092
112;11;ALL;DE LA PATURE DE L ETANG;4;66.24;66;Appartement;71479
113;124;RUE;CHANZY;1;28.17;29;Appartement;72181
114;14;RUE;SADI CARNOT;2;42.56;36;Appartement;80533
115;20;RUE;DES CHARTONS;2;36.42;32;Appartement;88358
116;13;AV;GEORGES CLEMENCEAU;1;15.07;20;Appartement;40088
117;7091;;CHANTEMERLE;2;25.08;24;Appartement;4205
118;52;RUE;DE VILLEDIEU;1;32.68;32;Appartement;50502
119;80;AV;BOULOUMIE;1;30.63;14;Appartement;88516
120;5139;;CANARD;4;14;53;Appartement;5072
121;9001;RES;LES TAMARIS - LE BOUCANET;2;28.27;29;Appartement;30133
122;16;RUE;DE MONTEVIDEO;3;25;64;Appartement;2680
123;5024;;VILLAGE;1;28.35;27;Appartement;6071
124;3;RUE;DU PDT SALVADOR ALLENDE;1;34.64;35;Appartement;8409
125;2;RUE;DE LA CLAPE;1;26.03;21;Appartement;11262
126;17;RUE;HENRI SELLIER;1;14.38;19;Appartement;18033
127;2;RUE;DE LA LIBERTE;2;16.96;22;Appartement;24520
128;5009;;CUDETA;1;22.43;28;Appartement;2A119
129;5;RUE;DE PROVENCE;3;53.05;53;Appartement;30258
130;45;AV;DE ROCHETAILLEE;1;55.62;42;Appartement;42218
131;5051;AV;DES THERMES;3;50;52;Appartement;48027
132;3;BD;SAINT DOMINIQUE;2;27.71;51;Appartement;48092
133;8;RUE;DU ROCHER;1;38.59;45;Appartement;50218
134;36;RUE;DE PAU;1;25.61;26;Appartement;65286
135;74;RUE;BARON BOUVIER;1;17.62;17;Appartement;70550
136;4;RUE;DES FEUCHERETS;2;47.83;48;Appartement;78138
137;13;RUE;DU GENERAL LECLERC;2;64.54;70;Appartement;88383
138;26;BD;MARCEL SEMBAT;1;14.7;15;Appartement;93066
139;5;PL;SOLFERINO;1;10.9;9;Appartement;94078
140;26;RUE;DU MONT THABOR;1;5.69;10;Appartement;75101
141;7112;;LES AUCHES;1;11.43;15;Appartement;4006
142;55;AV;MARECHAL FOCH;1;23.23;24;Appartement;43157
143;5;RUE;DU PORT;1;13.75;23;Appartement;72181
144;15;RUE;GAMBON;1;30.06;30;Maison;18033
145;16;AV;DE LA GARE;2;18.21;25;Appartement;71342
146;5141;;LE BOIS D AUROUZE;1;16.99;17;Appartement;5139
147;10;RUE;HOUVENAGLE;1;36.87;34;Appartement;22278
148;19;RUE;JULES SIMON;3;13.69;70;Appartement;56121
149;5;BD;VICTOR HUGO;1;19.4;13;Appartement;58194
150;43;RUE;JEAN JAURES;1;25;25;Appartement;70310
151;11;ALL;DE LA PATURE DE L ETANG;4;66.12;71;Appartement;71479
152;13;PL;LOUIS ARAGON;3;67.85;66;Appartement;94044
153;28;RUE;LAKANAL;1;25.15;28;Appartement;47323
154;15;RUE;VICTOR CHALMEY;1;12.42;12;Appartement;70388
155;12;RUE;SAINT GEORGES;2;30.77;31;Appartement;71076
156;11;RUE;BENJAMIN FILLON;3;31;32;Appartement;85092
157;16;RUE;NATIONALE;3;102.4;101;Maison;72084
158;14;BD;DE LA LIBERTE;1;30.84;30;Appartement;18279
159;6;RUE;L O FROSSARD;5;79.32;65;Appartement;70311
160;179;RUE;DE FRANCE;1;26.4;33;Appartement;6163
161;5346;;LE VILLAGE;4;73.34;88;Appartement;6151
162;10;RUE;CHARBONNET;1;12.37;13;Appartement;10387
163;4;RUE;JEAN BAPTISTE COROT;3;55;55;Appartement;11069
164;54;RUE;G LE CONQUERANT;2;41.07;39;Appartement;14715
165;9;RUE;JAURES GRANDE RUE;2;24.07;24;Appartement;26057
166;1;RUE;GAMBETTA;1;22.29;22;Appartement;39368
167;10;AV;MARANSIN;1;35.5;35;Appartement;65286
168;28;RUE;EDOUARD HERRIOT;4;104.26;107;Appartement;70473
169;12;RUE;JULES JEANNENEY;2;61.19;60;Appartement;70311
170;36;RUE;DE NANCY;3;60.27;56;Appartement;88160
171;5;RUE;DES JACOBINS;2;44.26;95;Appartement;11262
172;2;RUE;DU CROC SALE;1;14.26;15;Appartement;28168
173;17;RUE;DES SORBIERS;1;30.14;30;Appartement;50502
174;17;RUE;DU BOUCAU;3;59.07;56;Appartement;54263
175;12;GPL;GD PCE LOUIS LE SENECHAL;1;28.3;20;Appartement;62560
176;25;RUE;CASTELLANE;1;22.74;23;Appartement;66003
177;10;BD;DES CHATEAUX;2;42.24;45;Maison;86070
178;2;RUE;DU 10EME BCP;1;24.55;22;Appartement;88413
179;14;N;QU DE LA REPUBLIQUE;2;38.31;46;Appartement;19272
180;5381;;MERLETTE;1;18.04;16;Appartement;5096
181;13;RUE;D ORVAL;4;92;86;Appartement;8090
182;103;RUE;PIERRE JULIEN;2;27.72;40;Appartement;26198
183;98;AV;MARECHAL FOCH;2;17.44;11;Appartement;27229
184;1;PAS;DU POIDS PUBLIC;1;22.73;23;Appartement;35288
185;7;RUE;DES GALLIERES;1;16.65;18;Appartement;41018
186;7;RUE;DE LA CHARRONIERE;1;21.83;22;Appartement;55545
187;55;;GRANDE RUE;1;16.4;18;Appartement;71076
188;58;AV;GAMBETTA;2;18.85;21;Appartement;83126
189;88;RUE;D ALSACE;2;27;24;Appartement;88413
190;11;RUE;DE LA GARE;2;47.27;39;Maison;50356
191;327;RTE;DE PIERRE BLANCHE;1;12.57;19;Appartement;38186
192;340;AV;DE LA LAUNE;2;28.15;27;Appartement;30133
193;1019;RTE;DE COURBESSAC;1;23.14;22;Appartement;30189
194;1559;;MON DESIR;2;33.96;32;Maison;47175
195;20;RUE;DU BREUIL;2;39.01;42;Appartement;70550
196;317;MTE;DES DOLOMITES;1;19.11;18;Appartement;38186
197;207;RUE;PAUL DOUMER;1;14.03;15;Appartement;78624
198;7218;;LACHAUD ET CHAUVET;1;19.72;19;Appartement;4006
199;6;AV;DU GENERAL LECLERC;1;25.76;25;Appartement;10033
200;;;LES AUZIS-SUD;2;42.9;44;Appartement;11397
201;7;RUE;DOULLAY;1;29.84;29;Appartement;28280
202;36;RUE;BARBES;3;68.45;68;Appartement;30032
203;29;AV;DES LANDES;1;19.33;25;Appartement;32096
204;1;PAS;DU POIDS PUBLIC;1;20;20;Appartement;35288
205;5286;;MONTAGNE DU PLEYNET;1;14.28;14;Appartement;38163
206;15;BD;EDGAR QUINET;4;62.54;66;Appartement;42187
207;37;RUE;DE LOING;1;25.99;26;Appartement;45208
208;2;RUE;LISBONNE;1;17.49;22;Appartement;47001
209;22;AV;LE CORBUSIER;1;27.32;28;Appartement;51506
210;125;AV;FOCH;2;28.04;27;Appartement;54184
211;25;RUE;CASTELLANE;1;23.15;23;Appartement;66003
212;9011;;IMM F CHATEAU BLANC;4;71.86;80;Appartement;76575
213;27;RUE;ELIE BERTHET;1;17.39;18;Appartement;87085
214;2;RUE;ZIWER PACHA;1;30;33;Appartement;88114
215;102;AV;DU GENERAL DE GAULLE;1;14.82;12;Appartement;94046
216;25;RUE;DE CALLAC;1;31.08;31;Appartement;29151
217;7;RUE;DES VIEUX REMPARTS;1;5.21;8;Appartement;35288
218;41;RUE;DU PRESIDENT WILSON;3;52.21;53;Appartement;42187
219;1559;;MON DESIR;2;31.73;31;Appartement;47175
220;15;RUE;FRANCOIS COQUARD;2;31.07;33;Appartement;69248
221;7;RUE;LIONEL ROYER;1;13.5;13;Appartement;72181
222;5587;;IMM LE SIKKIM;1;13.51;14;Appartement;73150
223;9001;RUE;DE LA MONTAGNE SAVART;1;10.29;10;Appartement;93032
224;18;RUE;ALFRED DE VIGNY;3;61.96;62;Appartement;22278
225;55;RUE;LAVOISIER;1;17.56;18;Appartement;71153
226;36;RUE;DE L HUBAC;4;25.4;110;Maison;4070
227;18;AV;DU MUGUET;3;73.46;73;Appartement;8105
228;14;RUE;DE MULHOUSE;1;37.45;41;Appartement;8409
229;73;RUE;CLOVIS HUGUES;3;49.9;50;Appartement;13203
230;18;RUE;SEBASTIEN DE NEUFVILLE;1;16.92;17;Appartement;14338
231;25;RUE;DE LA PETITE HOLLANDE;3;66.97;65;Appartement;25388
232;32;RUE;DE LA GARRIGUE;4;75.1;90;Appartement;30189
233;47;RUE;DESIRE CLAUDE;1;18.4;19;Appartement;42218
234;26;RUE;PAUL LANGEVIN;3;55.3;55;Appartement;42183
235;10;RUE;DES ECOLIERS;3;64.77;62;Appartement;42187
236;16;RUE;DE CRAPONNE;1;23;15;Appartement;43157
237;19;RUE;COLIGNY;1;28.8;29;Appartement;45208
238;13;RUE;DU VINGTIEME DE LIGNE;1;23.9;24;Appartement;47157
239;24;RUE;CARNOT;2;93.56;98;Appartement;54518
240;2;RUE;VAUBAN;1;18.14;20;Appartement;59512
241;11;RUE;GUY DE MAUPASSANT;2;38.28;39;Appartement;60175
242;11;ALL;DE LA PATURE DE L ETANG;4;91.16;91;Appartement;71479
243;43;RUE;DE RICHEBOURG;1;17.77;17;Appartement;72181
244;22;RUE;DES LIMITES;2;43;42;Appartement;76498
245;5;RUE;DE LA LIBERATION;3;57.02;57;Appartement;77153
246;5307;PL;PHILIPPE CHAUVIER;1;39.38;29;Appartement;83011
247;32;AV;SAINT RUF;1;21.67;22;Appartement;84007
248;5617;GR;GRANDE RUE;3;50.5;50;Appartement;84069
249;7;RUE;DE LA TRANCHEE;1;15.99;14;Appartement;86194
250;1;RTE;DU MONT DE FOURCHE;3;64.43;64;Appartement;88408
251;29;RUE;JEAN VARNET;3;29.26;30;Appartement;93029
252;12;RUE;BERNE;1;14.91;17;Appartement;93066
253;58;AV;MAURICE THOREZ;3;25;37;Appartement;94041
254;9;RUE;ETIENNE DOLET;2;31.28;31;Appartement;34032
255;13;RUE;FRANCOIS ALBERT;2;42.02;45;Appartement;42218
256;3;RUE;MARIE COUTURIER;4;78.29;90;Appartement;69248
257;9002;RUE;ERNEST SARROU;1;17.17;17;Appartement;47001
