id_commune;nom_commune;code_departement;nb_hab;id_region
65199;GERM;65;36;76
66154;PUYVALADOR;66;63;76
2A021;ARGIUSTA-MORICCIO;2A;77;94
6102;RIMPLAS;6;91;93
5064;LA CHAPELLE-EN-VALGAUDEMAR;5;105;93
79124;LES FORGES;79;112;75
88347;PIERREFITTE;88;118;44
4176;SAINTE CROIX DU VERDON;4;119;93
4069;DEMANDOLX;4;135;93
2A119;FRASSETO;2A;137;94
50033;BAUBIGNY;50;141;28
38040;BESSE;38;141;84
2A200;PALNECA;2A;143;94
65481;BAREGES;65;159;76
2A018;ARBELLARA;2A;160;94
2A035;BELVEDERE-CAMPOMORO;2A;161;94
65384;SAILHAN;65;173;76
89267;MONTREAL;89;177;27
4102;LE LAUZET UBAYE;4;179;93
38020;AURIS;38;183;84
10102;COLOMBE LA FOSSE;10;189;44
64204;EAUX BONNES;64;193;75
39392;OFFLANGES;39;194;27
2A254;QUENZA;2A;200;94
11310;RENNES LES BAINS;11;201;76
2537;NANTEUIL LA FOSSE;2;202;32
30017;ARRIGAS;30;210;76
2A071;CASALABRIVA;2A;214;94
63098;CHASTREIX;63;223;84
1210;LELEX;1;228;84
27660;LA TRINITE DE REVILLE;27;237;28
5072;LAYE;5;243;93
2410;LARGNY SUR AUTOMNE;2;244;32
65017;ARAGNOUET;65;249;76
6086;MOULINET;6;251;93
9322;USTOU;9;272;76
5111;PUY-SANIERES;5;273;93
64385;MIOSSENS LANUSSE;64;275;75
77004;ANDREZEL;77;286;11
77332;NANTOUILLET;77;286;11
77094;CHARMENTRAY;77;299;11
5110;PUY SAINT VINCENT;5;301;93
78565;SAINT-MARTIN-DES-CHAMPS;78;303;11
4086;FAUCON-DE-BARCELONNETTE;4;303;93
1247;MIJOUX;1;312;84
54550;VATHIMENIL;54;322;44
65465;VIELLE-AURE;65;325;76
63241;MONTPEYROUX;63;326;84
60367;LOCONVILLE;60;333;32
30203;PORTES;30;334;76
91180;COURANCES;91;337;11
30309;SARDAN;30;337;76
38527;VAUJANY;38;342;84
6141;TOUDON;6;347;93
5153;SAINT-MICHEL-DE-CHAILLOL;5;352;93
77325;MOUY-SUR-SEINE;77;359;11
5093;NEVACHE;5;359;93
38129;CORRENCON-EN-VERCORS;38;360;84
26290;SAINT-AGNAN-EN-VERCORS;26;362;84
88122;DAMAS-ET-BETTEGNEY;88;364;44
30231;SAINT ANDRE DE VALBORGNE;30;364;76
73013;ALBIEZ-MONTROND;73;365;84
77163;DOUY-LA-RAMEE;77;367;11
38186;GRESSE-EN-VERCORS;38;377;84
77024;BASSEVELLE;77;382;11
