id_vente;date_mutation;valeur;id_bien
1;2020-04-09;538;1
2;2020-01-30;1021;2
3;2020-05-13;2200;3
4;2020-05-29;3000;4
5;2020-01-28;3000;5
6;2020-05-07;3000;6
7;2020-03-20;5000;7
8;2020-03-02;5000;8
9;2020-06-19;5000;9
10;2020-06-23;6000;10
11;2020-02-05;6000;11
12;2020-06-04;6000;12
13;2020-02-28;6500;13
14;2020-06-30;6500;14
15;2020-01-27;7000;15
16;2020-05-26;8000;16
17;2020-02-03;8000;17
18;2020-02-28;8000;18
19;2020-01-10;9000;19
20;2020-05-20;9000;20
21;2020-01-16;9000;21
22;2020-06-06;9000;22
23;2020-06-04;9500;23
24;2020-01-11;10000;24
25;2020-05-23;10000;25
26;2020-03-03;10000;26
27;2020-04-17;10000;27
28;2020-04-03;10000;28
29;2020-04-27;10000;29
30;2020-03-11;10000;30
31;2020-06-05;10000;31
32;2020-05-18;11000;32
33;2020-01-07;11000;33
34;2020-02-07;11055;34
35;2020-05-15;12000;35
36;2020-01-07;12000;36
37;2020-06-16;12000;37
38;2020-06-27;12500;38
39;2020-02-27;13000;39
40;2020-01-15;13000;40
41;2020-01-17;13000;41
42;2020-03-10;13000;42
43;2020-01-23;13000;43
44;2020-01-31;13300;44
45;2020-02-28;14000;45
46;2020-04-04;14000;46
47;2020-01-31;14000;47
48;2020-06-08;14000;48
49;2020-02-26;14000;49
50;2020-04-24;14470;50
51;2020-02-07;14500;51
52;2020-06-22;14700;52
53;2020-02-07;15000;53
54;2020-02-24;15000;54
55;2020-02-27;15000;55
56;2020-05-28;15000;56
57;2020-03-27;15000;57
58;2020-05-15;15000;58
59;2020-02-18;15000;59
60;2020-05-07;15000;60
61;2020-05-12;15000;61
62;2020-03-03;15000;62
63;2020-06-05;15000;63
64;2020-02-21;15001;64
65;2020-02-03;15050;65
66;2020-05-13;15445;66
67;2020-05-29;15500;67
68;2020-03-12;15750;68
69;2020-06-24;16000;69
70;2020-01-21;16000;70
71;2020-01-16;16000;71
72;2020-05-04;16000;72
73;2020-03-16;16300;73
74;2020-06-03;16400;74
75;2020-05-29;16991;75
76;2020-05-20;17000;76
77;2020-01-08;17000;77
78;2020-06-29;17000;78
79;2020-06-22;17000;79
80;2020-02-14;17000;80
81;2020-05-14;17000;81
82;2020-04-22;17100;82
83;2020-05-07;17200;83
84;2020-05-15;17200;84
85;2020-02-05;17500;85
86;2020-05-29;17500;86
87;2020-05-12;17500;87
88;2020-02-05;17500;88
89;2020-02-12;18000;89
90;2020-01-21;18000;90
91;2020-02-12;18000;91
92;2020-05-20;18000;92
93;2020-06-29;18000;93
94;2020-06-17;18000;94
95;2020-06-18;18000;95
96;2020-01-27;18000;96
97;2020-02-28;18000;97
98;2020-06-04;18000;98
99;2020-03-10;18000;99
100;2020-02-18;18090;100
101;2020-04-17;18500;101
102;2020-02-14;18500;102
103;2020-04-24;18795;103
104;2020-04-24;18945;104
105;2020-02-17;19000;105
106;2020-06-23;19000;106
107;2020-02-11;19000;107
108;2020-02-20;19000;108
109;2020-03-05;19000;109
110;2020-04-20;19000;110
111;2020-04-21;19000;111
112;2020-06-24;19000;112
113;2020-06-12;19000;113
114;2020-06-24;19000;114
115;2020-06-02;19000;115
116;2020-02-05;19015;116
117;2020-04-29;19400;117
118;2020-01-27;19500;118
119;2020-02-05;19500;119
120;2020-06-23;19800;120
121;2020-06-26;19941;121
122;2020-05-26;20000;122
123;2020-01-30;20000;123
124;2020-06-18;20000;124
125;2020-06-19;20000;125
126;2020-02-19;20000;126
127;2020-03-31;20000;127
128;2020-05-22;20000;128
129;2020-05-04;20000;129
130;2020-06-02;20000;130
131;2020-02-21;20000;131
132;2020-06-17;20000;132
133;2020-04-15;20000;133
134;2020-05-11;20000;134
135;2020-03-05;20000;135
136;2020-04-01;20000;136
137;2020-01-31;20000;137
138;2020-06-23;20000;138
139;2020-01-28;20000;139
140;2020-06-18;20000;140
141;2020-06-06;20140;141
142;2020-05-25;20500;142
143;2020-01-30;20500;143
144;2020-05-18;20600;144
145;2020-03-14;20700;145
146;2020-06-26;21000;146
147;2020-06-25;21000;147
148;2020-05-11;21000;148
149;2020-05-28;21000;149
150;2020-01-10;21000;150
151;2020-06-24;21000;151
152;2020-02-27;21000;152
153;2020-03-09;21500;153
154;2020-01-25;21500;154
155;2020-05-29;21500;155
156;2020-01-17;21500;156
157;2020-06-30;21600;157
158;2020-01-08;21750;158
159;2020-05-12;21900;159
160;2020-02-14;22000;160
161;2020-06-15;22000;161
162;2020-06-22;22000;162
163;2020-06-20;22000;163
164;2020-01-08;22000;164
165;2020-03-03;22000;165
166;2020-03-13;22000;166
167;2020-05-18;22000;167
168;2020-02-08;22000;168
169;2020-05-14;22000;169
170;2020-01-20;22000;170
171;2020-05-14;22370;171
172;2020-05-04;22500;172
173;2020-06-29;22500;173
174;2020-02-05;22500;174
175;2020-01-31;22500;175
176;2020-02-06;22500;176
177;2020-01-23;22500;177
178;2020-04-30;22500;178
179;2020-06-07;22600;179
180;2020-05-29;23000;180
181;2020-05-14;23000;181
182;2020-05-14;23000;182
183;2020-02-04;23000;183
184;2020-01-30;23000;184
185;2020-06-02;23000;185
186;2020-05-18;23000;186
187;2020-06-02;23000;187
188;2020-03-06;23000;188
189;2020-05-05;23000;189
190;2020-01-30;23100;190
191;2020-01-20;23145;191
192;2020-01-13;23333;192
193;2020-02-14;23470;193
194;2020-05-13;23500;194
195;2020-04-10;23500;195
196;2020-02-10;23750;196
197;2020-01-20;23750;197
198;2020-01-27;24000;198
199;2020-06-24;24000;199
200;2020-01-31;24000;200
201;2020-01-25;24000;201
202;2020-05-06;24000;202
203;2020-05-30;24000;203
204;2020-01-30;24000;204
205;2020-03-16;24000;205
206;2020-06-26;24000;206
207;2020-03-07;24000;207
208;2020-06-29;24000;208
209;2020-02-04;24000;209
210;2020-05-19;24000;210
211;2020-02-24;24000;211
212;2020-05-11;24000;212
213;2020-03-30;24000;213
214;2020-02-14;24000;214
215;2020-06-23;24000;215
216;2020-06-25;24100;216
217;2020-06-18;24500;217
218;2020-04-17;24500;218
219;2020-03-17;24500;219
220;2020-05-28;24500;220
221;2020-02-28;24500;221
222;2020-01-15;24500;222
223;2020-02-06;24554;223
224;2020-06-30;24850;224
225;2020-02-13;24900;225
226;2020-06-26;25000;226
227;2020-05-15;25000;227
228;2020-03-09;25000;228
229;2020-04-17;25000;229
230;2020-05-14;25000;230
231;2020-06-29;25000;231
232;2020-06-26;25000;232
233;2020-03-19;25000;233
234;2020-02-21;25000;234
235;2020-05-30;25000;235
236;2020-06-08;25000;236
237;2020-06-19;25000;237
238;2020-01-24;25000;238
239;2020-06-24;25000;239
240;2020-05-26;25000;240
241;2020-01-16;25000;241
242;2020-06-24;25000;242
243;2020-05-14;25000;243
244;2020-03-10;25000;244
245;2020-06-10;25000;245
246;2020-06-04;25000;246
247;2020-02-05;25000;247
248;2020-04-21;25000;248
249;2020-05-26;25000;249
250;2020-06-26;25000;250
251;2020-01-10;25000;251
252;2020-03-09;25000;252
253;2020-06-25;25000;253
254;2020-03-12;25500;254
255;2020-03-06;25500;255
256;2020-01-16;25500;256
257;2020-02-18;25537;257
258;2020-05-26;25650;258
259;2020-02-28;25800;259
260;2020-04-08;25900;260
261;2020-03-06;26000;261
262;2020-06-17;26000;262
263;2020-01-09;26000;263
264;2020-06-05;26000;264
265;2020-04-22;26000;265
266;2020-06-10;26000;266
267;2020-05-28;26000;267
268;2020-05-29;26000;268
269;2020-01-31;26000;269
270;2020-02-11;26100;270
271;2020-02-05;26100;271
272;2020-02-25;26450;272
273;2020-06-09;26500;273
274;2020-06-23;26500;274
275;2020-04-30;26500;275
276;2020-01-08;26500;276
277;2020-02-24;26500;277
278;2020-03-26;26630;278
279;2020-05-26;27000;279
280;2020-05-28;27000;280
281;2020-03-10;27000;281
282;2020-03-12;27000;282
283;2020-02-12;27000;283
284;2020-06-19;27000;284
285;2020-01-24;27000;285
286;2020-03-02;27000;286
287;2020-02-11;27000;287
288;2020-06-25;27000;288
289;2020-05-15;27000;289
290;2020-03-17;27000;290
291;2020-01-21;27000;291
292;2020-06-08;27000;292
293;2020-03-06;27000;293
294;2020-05-20;27000;294
295;2020-04-07;27000;295
296;2020-06-19;27000;296
297;2020-03-05;27000;297
298;2020-03-11;27010;298
299;2020-01-17;27480;299
300;2020-06-08;27500;300
301;2020-05-12;27500;301
302;2020-05-05;27500;302
303;2020-04-17;27600;303
304;2020-05-30;27900;304
305;2020-01-17;28000;305
306;2020-02-28;28000;306
307;2020-01-14;28000;307
308;2020-05-19;28000;308
309;2020-02-28;28000;309
310;2020-05-20;28000;310
311;2020-01-03;28000;311
312;2020-04-07;28000;312
313;2020-03-13;28000;313
314;2020-05-25;28000;314
315;2020-06-08;28000;315
316;2020-01-21;28000;316
317;2020-05-27;28000;317
318;2020-03-14;28000;318
319;2020-02-28;28000;319
320;2020-05-07;28000;320
321;2020-06-04;28000;321
322;2020-02-28;28095;322
323;2020-01-21;28100;323
324;2020-02-07;28270;324
325;2020-05-20;28350;325
326;2020-02-27;28400;326
327;2020-04-29;28400;327
328;2020-03-16;28400;328
329;2020-05-13;28500;329
330;2020-01-20;28500;330
331;2020-05-22;28500;331
332;2020-01-03;28500;332
333;2020-05-29;28500;333
334;2020-01-15;28500;334
335;2020-05-27;28500;335
336;2020-04-29;28500;336
337;2020-05-22;28500;337
338;2020-01-22;28500;338
339;2020-05-15;28600;339
340;2020-06-12;28600;340
341;2020-03-13;28630;341
342;2020-02-04;28800;342
343;2020-06-12;28900;343
344;2020-05-15;28990;344
345;2020-04-16;29000;345
346;2020-01-24;29000;346
347;2020-01-24;29000;347
348;2020-02-25;29000;348
349;2020-06-30;29000;349
350;2020-01-31;29000;350
351;2020-03-10;29000;351
352;2020-03-13;29000;352
353;2020-02-15;29000;353
354;2020-02-04;29000;354
355;2020-06-26;29000;355
356;2020-02-14;29000;356
357;2020-04-15;29000;357
358;2020-03-13;29000;358
359;2020-06-03;29000;359
360;2020-06-19;29000;360
361;2020-03-03;29000;361
362;2020-06-25;29000;362
363;2020-06-02;29000;363
364;2020-02-01;29000;364
365;2020-03-13;29000;365
366;2020-06-10;29000;366
367;2020-03-27;29000;367
368;2020-06-05;29010;368
369;2020-05-13;29100;369
370;2020-06-15;29200;370
371;2020-06-05;29400;371
372;2020-04-29;29435;372
373;2020-04-16;29450;373
374;2020-05-28;29450;374
375;2020-06-16;29490;375
